symbol,name
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest
AIR,AAR Corp. Common Stock
AIRC,Apartment Income REIT Corp. Common Stock
AIT,Applied Industrial Technologies Inc. Common Stock
AIU,Meta Data Limited ADS
AIV,Apartment Investment and Management Company Common Stock
AIZ,Assurant Inc. Common Stock
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061
AJG,Arthur J. Gallagher & Co. Common Stock
AJX,Great Ajax Corp. Common Stock
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024
AKA,a.k.a. Brands Holding Corp. Common Stock
AKO-A,Embotelladora Andina S.A.
AKO-B,Embotelladora Andina S.A.
AKR,Acadia Realty Trust Common Stock
AL,Air Lease Corporation Class A Common Stock
AL-PA,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A
ALB,Albemarle Corporation Common Stock
ALC,Alcon Inc. Ordinary Shares
ALCC,AltC Acquisition Corp. Class A Common Stock
ALE,Allete Inc.
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company
ALG,Alamo Group Inc. Common Stock
ALIT,Alight Inc. Class A Common Stock
ALK,Alaska Air Group Inc. Common Stock
ALL,Allstate Corporation (The) Common Stock
ALL-PB,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053
ALL-PH,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H
ALL-PI,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I
ALL-PJ,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series J
ALLE,Allegion plc Ordinary Shares
ALLG,Allego N.V. Ordinary Share
ALLY,Ally Financial Inc. Common Stock
ALSN,Allison Transmission Holdings Inc. Common Stock
ALTG,Alta Equipment Group Inc. Class A Common Stock
ALTG-PA,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock)
ALUR,Allurion Technologies Inc. Common Stock
ALV,Autoliv Inc. Common Stock
ALX,Alexander's Inc. Common Stock
AM,Antero Midstream Corporation Common Stock
AMBC,Ambac Financial Group Inc. Common Stock
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares
AMC,AMC Entertainment Holdings Inc. Class A Common Stock
AMCR,Amcor plc Ordinary Shares
AME,AMETEK Inc.
AMG,Affiliated Managers Group Inc. Common Stock
AMH,American Homes 4 Rent Common Shares of Beneficial Interest
AMH-PG,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest
AMH-PH,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest
AMK,AssetMark Financial Holdings Inc. Common Stock
AMN,AMN Healthcare Services Inc
AMP,Ameriprise Financial Inc. Common Stock
AMPS,Altus Power Inc. Class A Common Stock
AMPX,Amprius Technologies Inc. Common Stock
AMPY,Amplify Energy Corp. Common Stock
AMR,Alpha Metallurgical Resources Inc. Common Stock
AMRC,Ameresco Inc. Class A Common Stock
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock
AMT,American Tower Corporation (REIT) Common Stock
AMTB,Amerant Bancorp Inc. Class A Common Stock
AMTD,AMTD IDEA Group American Depositary Shares each representing two Class A Ordinary Shares
AMWL,American Well Corporation Class A Common Stock
AMX,America Movil S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares
AN,AutoNation Inc. Common Stock
ANET,Arista Networks Inc. Common Stock
ANF,Abercrombie & Fitch Company Common Stock
ANVS,Annovis Bio Inc. Common Stock
AOD,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest
AOMR,Angel Oak Mortgage REIT Inc. Common Stock
AON,Aon plc Class A Ordinary Shares (Ireland)
AORT,Artivion Inc. Common Stock
AOS,A.O. Smith Corporation Common Stock
AP,Ampco-Pittsburgh Corporation Common Stock
APAM,Artisan Partners Asset Management Inc. Class A Common Stock
APCA,AP Acquisition Corp Class A Ordinary Shares
APD,Air Products and Chemicals Inc. Common Stock
APG,APi Group Corporation Common Stock
APGB,Apollo Strategic Growth Capital II Class A Ordinary Shares
APH,Amphenol Corporation Common Stock
APLE,Apple Hospitality REIT Inc. Common Shares
APO,Apollo Global Management Inc. (New) Common Stock
APO-PA,Apollo Global Management Inc. 6.75% Series A Mandatory Convertible Preferred Stock
APOS,Apollo Global Management Inc. 7.625% Fixed-Rate Resettable Junior Subordinated Notes due 2053
APTV,Aptiv PLC Ordinary Shares
AQN,Algonquin Power & Utilities Corp. Common Shares
AQNA,Algonquin Power & Utilities Corp. 6.875% Fixed-to-Floating Rate Subordinated Notes Series 2018-A due October 17 2078
AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079
AQNU,Algonquin Power & Utilities Corp. Corporate Units
AR,Antero Resources Corporation Common Stock
ARC,ARC Document Solutions Inc. Common Stock
ARCH,Arch Resources Inc. Class A Common Stock
ARCO,Arcos Dorados Holdings Inc. Class A Shares
ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares
ARE,Alexandria Real Estate Equities Inc. Common Stock
ARES,Ares Management Corporation Class A Common Stock
ARGD,Argo Group International Holdings Ltd. 6.5% Senior Notes Due 2042
ARGO,Argo Group International Holdings Ltd.
ARGO-PA,Argo Group International Holdings Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 7.00% Resettable Fixed Rate Preference Share Series A
ARI,Apollo Commercial Real Estate Finance Inc
ARIS,Aris Water Solutions Inc. Class A Common Stock
ARL,American Realty Investors Inc. Common Stock
ARLO,Arlo Technologies Inc. Common Stock
ARMK,Aramark Common Stock
AROC,Archrock Inc. Common Stock
ARR,ARMOUR Residential REIT Inc.
ARR-PC,ARMOUR Residential REIT Inc. 7% Series C Cumulative Redeemable Preferred Stock (liquidation preference $25.00 per share)
ARW,Arrow Electronics Inc. Common Stock
ASA,ASA  Gold and Precious Metals Limited
ASAI,Sendas Distribuidora S A ADS
ASAN,Asana Inc. Class A Common Stock
ASB,Associated Banc-Corp Common Stock
ASB-PE,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of 5.875% Non-Cumulative Perpetual Preferred Stock Series E
ASB-PF,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of Associated Banc-Corp 5.625% Non-Cumulative Perpetual Preferred Stock Series F
ASBA,Associated Banc-Corp 6.625% Fixed-Rate Reset Subordinated Notes due 2033
ASC,Ardmore Shipping Corporation Common Stock
ASG,Liberty All-Star Growth Fund Inc.
ASGI,abrdn Global Infrastructure Income Fund Common Shares of Beneficial Interest
ASGN,ASGN Incorporated Common Stock
ASH,Ashland Inc. Common Stock
ASIX,AdvanSix Inc. Common Stock 
ASPN,Aspen Aerogels Inc. Common Stock
ASR,Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) 
ATCO-PD,Atlas Corp. 7.95% Series D
ATCO-PH,Atlas Corp. 7.875% Series H
ATCO-PI,Atlas Corp. Series I Fixed-to-Floating 
ATEN,A10 Networks Inc. Common Stock
ATGE,Adtalem Global Education Inc. Common Stock
ATH-PA,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 6.35% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Share Series A
ATH-PB,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 5.625% Fixed Rate Perpetual Non- Cumulative Preference Share Series B par value $1.00 per share
ATH-PC,Athene Holding Ltd. Depositary Shares each representing a 1/1000th Interest in a Share of 6.375% Fixed-Rate Reset Perpetual Non-Cumulative Preference Shares Series C
ATH-PD,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 4.875% Fixed-Rate Perpetual Non-Cumulative Preference Share Series D
ATH-PE,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 7.750% Fixed-Rate Reset Perpetual Non-Cumulative Preference Share Series E
ATHM,Autohome Inc. American Depositary Shares each representing four class A ordinary shares.
ATI,ATI Inc. Common Stock
ATIP,ATI Physical Therapy Inc. Class A Common Stock
ATKR,Atkore Inc. Common Stock
ATMU,Atmus Filtration Technologies Inc. Common Stock
ATO,Atmos Energy Corporation Common Stock
ATR,AptarGroup Inc. Common Stock
ATS,ATS Corporation Common Shares
ATUS,Altice USA Inc. Class A Common Stock
AU,AngloGold Ashanti PLC Ordinary Shares
AUB,Atlantic Union Bankshares Corporation Common Stock
AUB-PA,Atlantic Union Bankshares Corporation Depositary Shares each representing a 1/400th ownership interest in a share of 6.875% Perpetual Non-Cumulative Preferred Stock Series A
AVA,Avista Corporation Common Stock
AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares)
AVB,AvalonBay Communities Inc. Common Stock
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value)
AVK,Advent Convertible and Income Fund
AVNS,Avanos Medical Inc. Common Stock
AVNT,Avient Corporation Common Stock
AVTR,Avantor Inc. Common Stock
AVY,Avery Dennison Corporation Common Stock
AWF,Alliancebernstein Global High Income Fund
AWI,Armstrong World Industries Inc Common Stock
AWK,American Water Works Company Inc. Common Stock
AWP,abrdn Global Premier Properties Fund Common Shares of Beneficial Interest
AWR,American States Water Company Common Stock
AX,Axos Financial Inc. Common Stock
AXL,American Axle & Manufacturing Holdings Inc. Common Stock
AXP,American Express Company Common Stock
AXR,AMREP Corporation Common Stock
AXS,Axis Capital Holdings Limited Common Stock
AXS-PE,Axis Capital Holdings Limited Depositary Shares each representing 1/100th interest in a share of a 5.50% Series E Preferred Shares
AXTA,Axalta Coating Systems Ltd. Common Shares
AYI,Acuity Brands Inc. 
AYX,Alteryx Inc. Class A Common Stock
AZEK,The AZEK Company Inc. Class A Common Stock
AZO,AutoZone Inc. Common Stock
AZUL,Azul S.A. American Depositary Shares (each representing three preferred shares)
AZZ,AZZ Inc.
B,Barnes Group Inc. Common Stock
BA,Boeing Company (The) Common Stock
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share
BAC,Bank of America Corporation Common Stock
BAC-PB,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 6.000% Non-Cumulative Preferred Stock Series GG
BAC-PE,Bank of America Corporation Depositary Sh repstg 1/1000th Perp Pfd Ser E
BAC-PK,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.875% Non- Cumulative Preferred Stock Series HH
BAC-PL,Bank of America Corporation Non Cumulative Perpetual Conv Pfd Ser L
BAC-PM,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series KK
BAC-PN,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 5.000% Non-Cumulative Preferred Stock Series LL
BAC-PO,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.375% Non-Cumulative Preferred Stock Series NN
BAC-PP,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 4.125% Non-Cumulative Preferred Stock Series PP
BAC-PQ,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.250% Non-Cumulative Preferred Stock Series QQ
BAC-PS,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.750% Non-Cumulative Preferred Stock Series SS
BAH,Booz Allen Hamilton Holding Corporation Common Stock
BAK,Braskem SA ADR
BALL,Ball Corporation Common Stock
BALY,Bally's Corporation Common Stock
BAM,Brookfield Asset Management Inc Class A Limited Voting Shares
BANC,Banc of California Inc. Common Stock
BAP,Credicorp Ltd. Common Stock
BARK,BARK Inc. Class A Common Stock
BAX,Baxter International Inc. Common Stock
BB,BlackBerry Limited Common Stock
BBAI,BigBear.ai Inc. Common Stock
BBAR,Banco BBVA Argentina S.A. ADS
BBD,Banco Bradesco Sa American Depositary Shares
BBDC,Barings BDC Inc. Common Stock
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share)
BBN,BlackRock Taxable Municipal Bond Trust Common Shares of Beneficial Interest
BBU,Brookfield Business Partners L.P. Limited Partnership Units 
BBUC,Brookfield Business Corporation Class A Exchangeable Subordinate Voting Shares
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock
BBW,Build-A-Bear Workshop Inc. Common Stock
BBWI,Bath & Body Works Inc.
BBY,Best Buy Co. Inc. Common Stock
BC,Brunswick Corporation Common Stock
BC-PA,Brunswick Corporation 6.500% Senior Notes due 2048
BC-PB,Brunswick Corporation 6.625% Senior Notes due 2049
BC-PC,Brunswick Corporation 6.375% Notes due 2049
BCAT,BlackRock Capital Allocation Term Trust Common Shares of Beneficial Interest
BCC,Boise Cascade L.L.C. Common Stock
BCE,BCE Inc. Common Stock
BCH,Banco De Chile ADS
BCO,Brinks Company (The) Common Stock
BCS,Barclays PLC Common Stock
BCSF,Bain Capital Specialty Finance Inc. Common Stock
BCX,BlackRock Resources Common Shares of Beneficial Interest
BDC,Belden Inc Common Stock
BDJ,Blackrock Enhanced Equity Dividend Trust
BDN,Brandywine Realty Trust Common Stock
BDX,Becton Dickinson and Company Common Stock
BE,Bloom Energy Corporation Class A Common Stock
BEDU,Bright Scholar Education Holdings Limited American Depositary Shares each  representing four Class A Ordinary Share
BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares)
BEN,Franklin Resources Inc. Common Stock
BEP,Brookfield Renewable Partners L.P. 
BEP-PA,Brookfield Renewable Partners L.P. 5.25% Class A Preferred Limited Partnership Units Series 17
BEPC,Brookfield Renewable Corporation Class A Subordinate Voting Shares 
BEPH,Brookfield BRP Holdings (Canada) Inc. 4.625% Perpetual Subordinated Notes
BEPI,Brookfield BRP Holdings (Canada) Inc. 4.875% Perpetual Subordinated Notes
BERY,Berry Global Group Inc. Common Stock
BEST,BEST Inc. American Depositary Shares each representing twenty (20) Class A Ordinary Shares
BF-A,Brown Forman Corporation
BF-B,Brown Forman Corporation
BFAC,Battery Future Acquisition Corp. Class A Ordinary Shares
BFAM,Bright Horizons Family Solutions Inc. Common Stock
BFH,Bread Financial Holdings Inc. Common Stock
BFK,BlackRock Municipal Income Trust
BFLY,Butterfly Network Inc. Class A Common Stock
BFS,Saul Centers Inc. Common Stock
BFS-PD,Saul Centers Inc. Depositary Shares each representing 1/100th of a share of 6.125% Series D Cumulative Redeemable Preferred Stock
BFS-PE,Saul Centers Inc. Depositary shares each representing a 1/100th fractional interest in a share of 6.000% Series E Cumulative Redeemable Preferred Stock
BFZ,BlackRock California Municipal Income Trust
BG,Bunge Limited Bunge Limited
BGB,Blackstone Strategic Credit 2027 Term Fund Common Shares of Beneficial Interest
BGH,Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests
BGR,BlackRock Energy and Resources Trust
BGS,B&G Foods Inc. Common Stock
BGSF,BGSF Inc. Common Stock
BGT,BlackRock Floating Rate Income Trust
BGX,Blackstone Long Short Credit Income Fund Common Shares
BGY,Blackrock Enhanced International Dividend Trust
BH,Biglari Holdings Inc. Class B Common Stock
BHC,Bausch Health Companies Inc. Common Stock
BHE,Benchmark Electronics Inc. Common Stock
BHG,Bright Health Group Inc. Common Stock
BHIL,Benson Hill Inc. Common Stock
BHK,Blackrock Core Bond Trust
BHLB,Berkshire Hills Bancorp Inc. Common Stock
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares)
BHR,Braemar Hotels & Resorts Inc. Common Stock
BHR-PB,Braemar Hotels & Resorts Inc. 5.50% Series B Cumulative Convertible Preferred Stock par value $0.01 per share
BHR-PD,Braemar Hotels & Resorts Inc. 8.25% Series D Cumulative Preferred Stock  par value $0.01 per share
BHV,BlackRock Virginia Municipal Bond Trust
BHVN,Biohaven Ltd. Common Shares 
BIG,Big Lots Inc. Common Stock
BIGZ,BlackRock Innovation and Growth Term Trust Common Shares of Beneficial Interest
BILL,BILL Holdings Inc. Common Stock
BIO,Bio-Rad Laboratories Inc. Class A Common Stock
BIO-B,Bio-Rad Laboratories Inc.
BIP,Brookfield Infrastructure Partners LP Limited Partnership Units
BIP-PA,Brookfield Infrastructure Partners LP 5.125% Class A Preferred Limited Partnership Units Series 13
BIP-PB,Brookfield Infrastructure Partners LP 5.000% Class A Preferred Limited Partnership Units Series 14
BIPC,Brookfield Infrastructure Corporation 
BIPH,Brookfield Infrastructure Corporation 5.000% Subordinated Notes due 2081
BIPI,BIP Bermuda Holdings I Limited 5.125% Perpetual Subordinated Notes
BIT,BlackRock Multi-Sector Income Trust Common Shares of Beneficial Interest
BJ,BJ's Wholesale Club Holdings Inc. Common Stock
BK,The Bank of New York Mellon Corporation Common Stock
BKD,Brookdale Senior Living Inc. Common Stock
BKDT,Brookdale Senior Living Inc. 7.00% Tangible Equity Units
BKE,Buckle Inc. (The) Common Stock
BKH,Black Hills Corporation Common Stock
BKKT,Bakkt Holdings Inc. Class A Common Stock
BKN,BlackRock Investment Quality Municipal Trust Inc. (The)
BKSY,BlackSky Technology Inc. Class A Common Stock
BKT,BlackRock Income Trust Inc. (The)
BKU,BankUnited Inc. Common Stock
BLCO,Bausch + Lomb Corporation Common Shares
BLD,TopBuild Corp. Common Stock
BLDR,Builders FirstSource Inc. Common Stock
BLE,BlackRock Municipal Income Trust II
BLK,BlackRock Inc. Common Stock
BLND,Blend Labs Inc. Class A Common Stock
BLW,Blackrock Limited Duration Income Trust
BLX,Banco Latinoamericano de Comercio Exterior S.A.
BMA,Banco Macro S.A.  ADR (representing Ten Class B Common Shares)
BMAC,Black Mountain Acquisition Corp. Class A Common Stock
BME,Blackrock Health Sciences Trust
BMEZ,BlackRock Health Sciences Term Trust Common Shares of Beneficial Interest
BMI,Badger Meter Inc. Common Stock
BML-PG,Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a share of Floating Rate Non-Cumulative Preferred Stock  Series 1)
BML-PH,Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 2)
BML-PJ,Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 4)
BML-PL,Bank of America Corporation Depositary Shares (Each representing a 1/1200th Interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 5)
BMN,BlackRock 2037 Municipal Target Term Trust Common Shares of Beneficial Interest
BMO,Bank Of Montreal Common Stock
BMY,Bristol-Myers Squibb Company Common Stock
BN,Brookfield Corporation Class A Limited Voting Shares
BNED,Barnes & Noble Education Inc Common Stock
BNH,Brookfield Finance Inc. 4.625% Subordinated Notes due October 16 2080
BNJ,Brookfield Finance Inc. 4.50% Perpetual Subordinated Notes
BNL,Broadstone Net Lease Inc. Common Stock
BNRE,Brookfield Reinsurance Ltd. Class A Exchangeable Limited Voting Shares
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares
BNY,BlackRock New York Municipal Income Trust
BOAC,Bluescape Opportunities Acquisition Corp. Class A Ordinary Shares
BOC,Boston Omaha Corporation Class A Common Stock
BODY,The Beachbody Company Inc. Class A Common Stock
BOE,Blackrock Enhanced Global Dividend Trust Common Shares of Beneficial Interest
BOH,Bank of Hawaii Corporation Common Stock
BOH-PA,Bank of Hawaii Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of 4.375% Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A
BOOT,Boot Barn Holdings Inc. Common Stock
BORR,Borr Drilling Limited Common Shares
BOWL,Bowlero Corp. Class A Common Stock
BOX,Box Inc. Class A Common Stock
BP,BP p.l.c. Common Stock
BPT,BP Prudhoe Bay Royalty Trust Common Stock
BQ,Boqii Holding Limited American Depositary Shares representing Class A Ordinary Shares
BR,Broadridge Financial Solutions Inc. Common Stock
BRBR,BellRing Brands Inc. Common Stock 
BRC,Brady Corporation Common Stock
BRCC,BRC Inc. Class A Common Stock
BRD,Beard Energy Transition Acquisition Corp. Class A Common Stock
BRDG,Bridge Investment Group Holdings Inc. Class A Common Stock
BRFS,BRF S.A.
BRK-A,Berkshire Hathaway Inc.
BRK-B,Berkshire Hathaway Inc.
BRO,Brown & Brown Inc. Common Stock
BROS,Dutch Bros Inc. Class A Common Stock
BRSP,BrightSpire Capital Inc. Class A Common Stock
BRT,BRT Apartments Corp. (MD) Common Stock
BRW,Saba Capital Income & Opportunities Fund SBI
BRX,Brixmor Property Group Inc. Common Stock
BSAC,Banco Santander - Chile ADS
BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit
BSIG,BrightSphere Investment Group Inc. Common Stock
BSL,Blackstone Senior Floating Rate 2027 Term Fund Common Shares of Beneficial Interest
BSM,Black Stone Minerals L.P. Common units representing limited partner interests
BST,BlackRock Science and Technology Trust Common Shares of Beneficial Interest
BSTZ,BlackRock Science and Technology Term Trust Common Shares of Beneficial Interest
BSX,Boston Scientific Corporation Common Stock
BTA,BlackRock Long-Term Municipal Advantage Trust Common Shares of Beneficial Interest
BTCM,BIT Mining Limited ADS
BTE,Baytex Energy Corp Common Shares
BTI,British American Tobacco  Industries p.l.c. Common Stock ADR
BTO,John Hancock Financial Opportunities Fund Common Stock
BTT,BlackRock Municipal 2030 Target Term Trust
BTU,Peabody Energy Corporation Common Stock 
BTZ,BlackRock Credit Allocation Income Trust
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium)
BUI,BlackRock Utility Infrastructure & Power Opportunities Trust
